# Predicted,Actual,Difference,Average: 3.7538
1174.351386563,1175.42334,1.0719534371,
1162.1091856587,1156.92981,5.1793756587,
1179.5760313004,1177.597412,1.9786193004,
1380.6471968718,1383.313721,2.6665241282,
1182.9746720686,1187.210693,4.2360209314,
1180.0156782378,1179.147705,0.8679732378,
1181.4887075166,1175.221924,6.2667835166,
1360.2098402453,1346.831665,13.3781752453,
1153.9680428388,1157.478516,3.5104731612,
1165.375477086,1167.683105,2.307627914,
1175.2704553577,1181.133911,5.8634556423,
1147.6019601623,1148.162598,0.5606378377,
1174.1634821133,1176.151001,1.9875188867,
1171.2839272146,1174.949707,3.6657797854,
1172.6857929355,1169.776733,2.9090599355,
1157.4021419884,1165.273071,7.8709290116,
1174.8841768368,1172.606201,2.2779758368,
1168.9468087561,1162.370972,6.5758367561,
1178.8091003115,1183.199951,4.3908506885,
1181.2054789668,1177.941895,3.2635839668,
1160.3239725781,1162.650757,2.326784422,
1168.9338749782,1170.553833,1.6199580218,
1162.5317567297,1163.391602,0.8598452703,
1178.2287910262,1179.823853,1.5950619738,
1159.1644304088,1160.38562,1.2211895912,
1159.8930080328,1155.761108,4.1319000328,
1169.8940334102,1170.535156,0.6411225898,
1161.0296687554,1161.884644,0.8549752446,
1161.4702621176,1166.510132,5.0398698824,
1168.9245007223,1162.228638,6.6958627223,
1182.9204759434,1180.90564,2.0148359434,
1178.7746328483,1187.339355,8.5647221517,
1175.7653203222,1170.731201,5.0341193222,
1153.4467455829,1149.671997,3.7747485829,
1180.6829179681,1180.563599,0.1193189681,
1171.5511986349,1165.265015,6.2861836349,
1152.9639787066,1156.431763,3.4677842934,
1159.9727367809,1160.641846,0.6691092191,
1180.5773957826,1176.298462,4.2789337826,
1185.3799713462,1191.724365,6.3443936538,
1177.4044423444,1176.363159,1.0412833444,
1185.8560466991,1182.927124,2.9289226991,
1186.5633611202,1184.593628,1.9697331202,
1178.4462632172,1176.05481,2.3914532172,
1191.9677410601,1193.024536,1.05679494,
1154.0630006808,1161.213623,7.1506223192,
1162.0983083783,1167.400024,5.3017156217,
1169.2780565377,1166.167236,3.1108205377,
1154.2794264239,1161.198364,6.9189375761,
1170.5987495173,1178.93396,8.3352104827,
1166.4582153395,1176.073242,9.6150266605,
1164.6127947881,1167.831909,3.2191142119,
1160.5378742713,1168.514526,7.9766517287,
1198.0887157038,1193.162109,4.9266067038,
1187.0191434206,1183.687988,3.3311554206,
1320.726341686,1276.033569,44.692772686,
1169.6142339739,1166.762573,2.8516609739,
1167.8444481026,1162.08728,5.7571681026,
1180.9935026948,1178.842041,2.1514616948,
1159.8607387013,1171.251831,11.3910922987,
1182.9162477972,1190.157104,7.2408562028,
1172.7871851445,1170.490723,2.2964621445,
1194.5487583773,1195.389771,0.8410126228,
1173.4164871862,1168.961426,4.4550611862,
1177.7284986016,1179.407227,1.6787283984,
1182.016491603,1185.937134,3.920642397,
1155.9028687521,1159.539307,3.6364382479,
1175.8388301018,1177.615356,1.7765258982,
1156.384505812,1158.072144,1.687638188,
1164.6589135636,1168.508667,3.8497534364,
1185.8120121498,1184.909302,0.9027101498,
1180.1831199603,1174.604248,5.5788719603,
1162.9651177208,1162.187866,0.7772517208,
1179.1010928553,1180.627686,1.5265931447,
1163.065545197,1163.227173,0.161627803,
1164.8973844786,1166.505127,1.6077425214,
1165.6587639586,1168.90686,3.2480960414,
1173.7338505147,1183.848755,10.1149044853,
1170.5411255126,1175.133789,4.5926634874,
1191.8992438972,1183.665649,8.2335948972,
1164.6684666375,1161.277954,3.3905126374,
1169.3711493788,1171.77124,2.4000906212,
1185.4744577686,1183.325195,2.1492627686,
1160.619860556,1158.818115,1.801745556,
1163.2943469267,1163.690674,0.3963270733,
1175.3388362756,1181.250244,5.9114077244,
1172.254111523,1171.052612,1.201499523,
1178.9191692758,1179.251221,0.3320517242,
1176.4961697323,1176.998535,0.5023652677,
1173.7410748073,1181.893433,8.1523581927,
1175.3064239345,1176.731567,1.4251430655,
1182.6645363378,1180.492554,2.1719823377,
1174.6881949932,1173.511108,1.1770869932,
1159.820117749,1171.456177,11.636059251,
1172.9704177367,1172.815308,0.1551097367,
1179.8371157906,1179.869629,0.0325132094,
1159.0130159953,1161.897339,2.8843230047,
1171.7703749521,1174.228149,2.4577740479,
1179.3259759098,1180.685425,1.3594490902,
1154.3280206208,1154.089478,0.2385426208,
1166.9572035397,1172.108398,5.1511944603,
1157.4263552164,1160.748901,3.3225457836,
1165.4781882738,1170.987549,5.5093607262,
1156.2319142949,1150.192627,6.0392872949,
1164.8088204933,1169.203613,4.3947925067,
1166.5880494147,1165.906128,0.6819214147,
1160.0686109599,1165.838745,5.7701340401,
1141.1490093656,1149.944702,8.7956926344,
1175.0391442144,1179.237915,4.1987707856,
1173.1975191351,1174.413696,1.2161768649,
1183.289385862,1183.262085,0.027300862,
1186.9462960404,1189.508179,2.5618829596,
1386.8129360262,1369.943115,16.8698210261,
1175.1516123386,1174.917603,0.2340093386,
1154.8690882302,1152.816162,2.0529262302,
1174.4783751783,1175.349976,0.8716008217,
1186.8542578491,1181.192749,5.6615088491,
1161.9020134574,1160.649414,1.2525994574,
1185.5080867064,1179.62146,5.8866267064,
1171.0048224606,1172.082764,1.0779415395,
1182.5326802124,1189.489868,6.9571877876,
1179.5342345609,1176.519165,3.0150695609,
1164.9235702526,1163.326538,1.5970322526,
1162.1146398455,1159.437622,2.6770178454,
1159.6321701578,1163.420166,3.7879958422,
1169.1937731367,1169.202881,0.0091078634,
1198.0943019612,1194.861328,3.2329739612,
1156.5068009091,1157.581909,1.0751080909,
1178.8997574439,1180.472656,1.5728985561,
1163.5822129331,1169.501953,5.9197400669,
1166.2513267269,1169.859009,3.6076822731,
1161.556820321,1167.976807,6.419986679,
1169.0016169235,1172.67041,3.6687930765,
1375.3147351008,1370.332275,4.9824601008,
1162.2221783882,1162.150635,0.0715433882,
1161.7200948098,1166.562744,4.8426491902,
1179.76734334,1182.276123,2.50877966,
1175.1873962178,1173.841919,1.3454772178,
1171.1393776324,1172.202637,1.0632593676,
1351.9373254159,1352.195557,0.2582315842,
1178.6369974052,1175.88501,2.7519874052,
1176.278311685,1180.561646,4.283334315,
1161.1221012023,1157.994385,3.1277162023,
1165.5747007977,1164.250977,1.3237237977,
1166.4327881651,1167.204834,0.7720458349,
1375.9752581344,1347.831909,28.1433491344,
1159.9924000519,1159.861206,0.1311940519,
1174.8895013683,1177.435669,2.5461676317,
1166.1854026751,1162.53125,3.6541526751,
1172.8690181257,1176.191772,3.3227538743,
1178.2737663852,1177.317871,0.9558953852,
1160.616777893,1158.869019,1.7477588929,
1160.2571408252,1165.70874,5.4515991748,
1151.1579679721,1149.776123,1.3818449721,
1172.3965033359,1168.897339,3.4991643359,
1171.4251221485,1170.449097,0.9760251484,
1170.3417209209,1168.787231,1.5544899209,
1156.7983180738,1162.332153,5.5338349262,
1157.2621903741,1157.581909,0.3197186259,
1156.7153075179,1158.934814,2.2195064822,
1170.3322722443,1169.120117,1.2121552443,
1173.8296391518,1169.886719,3.9429201518,
1164.1216391734,1171.081055,6.9594158267,
1175.9256519746,1177.65979,1.7341380254,
1167.2220450528,1167.741333,0.5192879472,
1184.1973066375,1194.389771,10.1924643625,
1178.2750224262,1177.372559,0.9024634262,
1170.7953060494,1165.914307,4.8809990494,
1389.6143295644,1389.165894,0.4484355644,
1157.876988665,1162.553101,4.6761123351,
1166.7448326972,1156.861816,9.8830166971,
1157.8128923244,1158.899292,1.0863996756,
1158.7902642431,1163.301147,4.5108827569,
1181.7585770744,1189.74292,7.9843429256,
1181.0550167008,1175.838989,5.2160277008,
1178.9462672334,1177.284912,1.6613552334,
1174.3032808176,1171.994995,2.3082858176,
1189.7931100327,1184.343262,5.4498480327,
1179.9759844164,1185.106445,5.1304605836,
1164.7932286254,1158.754639,6.0385896254,
1168.0591904152,1163.871826,4.1873644152,
1170.5078180133,1175.027588,4.5197699867,
1179.1994602013,1175.631226,3.5682342013,
1177.6507211115,1178.763672,1.1129508885,
1163.7082449665,1162.356567,1.3516779665,
1167.7226447692,1175.310547,7.5879022308,
1169.2982078679,1175.792358,6.4941501321,
1161.5045701972,1162.887085,1.3825148028,
1171.0367526448,1168.824341,2.2124116448,
1183.056760903,1183.641602,0.584841097,
1299.7724243879,1302.842529,3.0701046122,
1151.095451861,1152.724121,1.628669139,
1189.294171384,1191.233398,1.939226616,
1161.7614782177,1165.080078,3.3185997823,
1160.204034757,1162.700928,2.496893243,
1181.9389980382,1181.29834,0.6406580382,
1163.3292149972,1156.994995,6.3342199972,
1176.6206768232,1176.102783,0.5178938232,
1168.2775000565,1167.690918,0.5865820565,
1157.8625540511,1159.92627,2.0637159489,
1183.9062929096,1192.18103,8.2747370905,
1167.435500671,1167.079712,0.355788671,
1159.8583598357,1160.504761,0.6464011643,
1168.9938459842,1164.622192,4.3716539842,
1173.3083902088,1173.737549,0.4291587912,
1181.8271180326,1179.27417,2.5529480326,
1179.9669730525,1179.5271,0.4398730525,
1171.0071670487,1180.652588,9.6454209513,
1162.8918868382,1164.647705,1.7558181618,
1172.1107292405,1167.477661,4.6330682405,
1363.0426504292,1350.599609,12.4430414292,
1179.909339731,1184.249512,4.3401722691,
1166.2348822433,1165.024902,1.2099802433,
1172.5441512432,1171.91626,0.6278912432,
1168.6372946829,1172.205444,3.5681493171,
1173.3192108768,1171.630737,1.6884738768,
1183.7316974781,1192.513794,8.7820965219,
1172.9765820628,1170.59668,2.3799020628,
1174.5661989604,1179.675171,5.1089720396,
1167.081575378,1170.300171,3.218595622,
1170.6865881897,1168.446411,2.2401771897,
1171.7211744282,1174.190552,2.4693775718,
1170.5208417071,1160.628418,9.8924237071,
1170.3065358536,1169.38623,0.9203058536,
1177.841494423,1179.924316,2.082821577,
1160.0365513684,1162.425781,2.3892296316,
1161.4319637377,1169.713013,8.2810492623,
1156.7543856998,1156.971313,0.2169273002,
1188.0155475212,1200.057617,12.0420694788,
1162.9214651025,1163.788086,0.8666208975,
1170.9087146898,1177.231934,6.3232193102,
1149.6284439853,1144.02832,5.6001239853,
1187.065197064,1186.083984,0.981213064,
1178.7439062838,1187.19812,8.4542137162,
1175.0505734069,1179.671875,4.6213015931,
1154.5560295741,1149.929565,4.6264645741,
1159.7062036778,1161.494019,1.7878153223,
1176.3345455821,1173.378052,2.9564935821,
1181.1082716149,1184.579712,3.4714403851,
1172.2947144475,1174.835083,2.5403685525,
1167.9171055706,1170.626587,2.7094814294,
1182.3095769596,1184.724976,2.4153990404,
1168.7046095421,1165.021362,3.6832475421,
1166.7080801911,1165.465332,1.2427481911,
1170.4307404215,1172.215942,1.7852015785,
1174.6220060279,1170.317871,4.3041350278,
1169.088568079,1166.071045,3.017523079,
1176.356917304,1186.081421,9.724503696,
1159.2814901596,1158.658813,0.6226771596,
1189.0020674198,1191.990601,2.9885335802,
1175.5114106857,1182.768433,7.2570223143,
1151.1690719091,1150.687378,0.481693909,
1173.2249205566,1176.874023,3.6491024434,
1162.1604207621,1167.618042,5.4576212379,
1170.5244415046,1175.027588,4.5031464954,
1163.1595360625,1167.682373,4.5228369375,
1159.3417861465,1159.631714,0.2899278535,
1177.1231823982,1183.845459,6.7222766018,
1156.6045771989,1159.960449,3.3558718011,
1170.253633773,1173.99707,3.7434362271,
1358.0252984741,1352.872803,5.1524954741,
1168.3445868607,1168.819214,0.4746271393,
1191.5275913553,1187.86377,3.6638213553,
1168.0154795807,1166.900513,1.1149665807,
1174.2680547457,1169.886719,4.3813357457,
1168.0029715877,1172.714844,4.7118724123,
1183.1321377216,1184.276245,1.1441072784,
1175.5693259639,1168.076294,7.4930319639,
1166.5674596341,1167.839478,1.2720183659,
1153.9743616301,1155.022339,1.0479773699,
1143.5522263922,1149.513672,5.9614456078,
1160.5306082391,1165.251221,4.7206127609,
1185.3307986326,1184.527954,0.8028446326,
1187.6450191688,1180.265381,7.3796381688,
1158.8273717909,1158.227295,0.6000767909,
1181.6910140141,1186.816772,5.125757986,
1188.3234699756,1188.662964,0.3394940244,
1177.59949792,1178.320801,0.72130308,
1189.1030290296,1190.631226,1.5281969704,
1166.0109050342,1164.77771,1.2331950342,
1160.6675731624,1161.192139,0.5245658376,
1161.8355980444,1168.994019,7.1584209556,
1155.3420233032,1158.466187,3.1241636968,
1164.367476833,1167.3573,2.989823167,
1189.9641233453,1182.394287,7.5698363453,
1158.1066521074,1157.206665,0.8999871074,
1181.1882896026,1183.27356,2.0852703974,
1168.3911117923,1166.18396,2.2071517922,
1164.0046213855,1162.43457,1.5700513855,
1343.1113741156,1330.045654,13.0657201156,
1170.8617807325,1170.217407,0.6443737325,
1145.7166692963,1148.69397,2.9773007037,
1182.4757781875,1185.592651,3.1168728125,
1179.8866818579,1184.822021,4.9353391421,
1178.0634398165,1179.438232,1.3747921835,
1178.4381846456,1177.005371,1.4328136456,
1162.4535808505,1164.758057,2.3044761495,
1173.6382126273,1169.783325,3.8548876273,
1168.0622006372,1165.422241,2.6399596372,
1166.5841455273,1170.340942,3.7567964727,
1161.2588983469,1159.30896,1.9499383469,
1159.4572543982,1156.644043,2.8132113982,
1156.2025040587,1153.377563,2.8249410587,
1182.3874219117,1185.152954,2.7655320883,
1166.6640213094,1160.640503,6.0235183094,
1158.2645567422,1162.797119,4.5325622578,
1198.4683757354,1198.382935,0.0854407354,
1163.8280230056,1165.473022,1.6449989944,
1179.4008960709,1170.717651,8.6832450709,
1159.3619673644,1161.818726,2.4567586356,
1154.5821440245,1157.383545,2.8014009755,
1167.0341347881,1165.472778,1.5613567881,
1158.8588012801,1162.95459,4.0957887199,
1191.2023598838,1194.625366,3.4230061162,
1147.3301759073,1147.089355,0.2408209073,
1171.3718055482,1175.251221,3.8794154518,
1159.2427797221,1155.352295,3.8904847221,
1163.0138961491,1167.170898,4.157001851,
1185.4347877247,1183.012451,2.4223367247,
1172.1847515827,1161.78186,10.4028915827,
1156.4741756061,1154.728516,1.7456596061,
1148.1674238457,1147.089355,1.0780688457,
1163.7656775742,1163.199707,0.5659705742,
1176.2773945411,1175.365356,0.9120385411,
1168.6302293557,1174.619141,5.9889116444,
1158.6786085702,1157.157837,1.5207715702,
1184.063391163,1187.31665,3.253258837,
1154.6572441515,1158.129883,3.4726388485,
1166.3955937979,1160.560303,5.8352907979,
1176.4646404114,1177.395508,0.9308675886,
1163.2067808806,1164.796021,1.5892401194,
1179.9854367573,1177.97522,2.0102167573,
1162.8656245468,1167.93042,5.0647954533,
1184.3550775783,1186.283081,1.9280034217,
1174.219625064,1177.057007,2.8373819361,
1173.0008601349,1176.866211,3.8653508651,
1163.8547863316,1163.124512,0.7302743316,
1364.616770091,1377.402832,12.786061909,
1173.3354283179,1181.823242,8.4878136821,
1155.0694144127,1157.822998,2.7535835873,
1174.5818786843,1180.424683,5.8428043158,
1159.0189807531,1162.921631,3.9026502469,
1176.9547135936,1176.385498,0.5692155936,
1157.2625364706,1151.204224,6.0583124706,
1179.1386198487,1174.760864,4.3777558486,
1206.872401501,1210.451782,3.579380499,
1157.9638113941,1161.85437,3.8905586059,
1376.3762474538,1374.233765,2.1424824537,
1152.7834483389,1147.617065,5.1663833389,
1171.4512417664,1164.332642,7.1185997664,
1188.3864980799,1200.057617,11.6711189201,
1170.7970186013,1170.653809,0.1432096013,
1172.3457826551,1170.645752,1.7000306551,
1159.3249532068,1151.442749,7.8822042068,
1160.7303054884,1166.797119,6.0668135116,
1168.4992617234,1167.308472,1.1907897234,
1206.9517680556,1206.668701,0.2830670556,
1145.172819954,1141.541016,3.631803954,
1176.121237296,1178.584473,2.463235704,
1162.8995288404,1160.551514,2.3480148404,
1159.3329755834,1162.81189,3.4789144166,
1159.6799251496,1152.961182,6.7187431496,
1182.5005533354,1178.621704,3.8788493353,
1148.7588811977,1144.487183,4.2716981977,
1172.9829101968,1169.81189,3.1710201968,
1175.4942791569,1172.453979,3.0403001569,
1160.9791093993,1162.029053,1.0499436007,
1176.037191598,1176.614868,0.577676402,
1159.3419553929,1159.150146,0.1918093929,
1159.5672797274,1157.689087,1.8781927274,
1174.1640123361,1174.579102,0.4150896639,
1169.5295036325,1168.019287,1.5102166325,
1154.7809116106,1149.247437,5.5334746106,
1164.5527929677,1169.386963,4.8341700323,
1157.7716461046,1155.533203,2.2384431046,
1172.8691380456,1172.867676,0.0014620456,
1165.0472818651,1167.552124,2.504842135,
1167.4395236637,1170.288086,2.8485623363,
1380.2897357064,1372.251221,8.0385147064,
1167.4475138701,1166.440552,1.0069618701,
1181.0421751353,1186.889404,5.8472288647,
1159.5203299964,1160.579956,1.0596260036,
1173.4508949657,1171.20813,2.2427649657,
1162.5055390126,1163.427246,0.9217069874,
1165.8169385326,1168.1604,2.3434614674,
1175.0241776454,1174.137085,0.8870926454,
1181.3174756166,1181.785034,0.4675583834,
1159.8991535129,1164.810913,4.9117594871,
1172.1313677797,1169.459961,2.6714067797,
1161.9274626927,1162.416992,0.4895293073,
1184.6045106563,1181.645508,2.9590026562,
1178.1727695973,1182.686035,4.5132654028,
1168.5380140136,1169.603516,1.0655019864,
1165.0717908452,1166.378174,1.3063831548,
1188.5487759457,1182.925293,5.6234829457,
1153.4408614618,1152.504395,0.9364664618,
1208.1915783705,1209.874023,1.6824446295,
1177.9281065803,1179.73584,1.8077334197,
1381.2859013365,1376.373047,4.9128543364,
1185.8355518626,1185.573853,0.2616988626,
1163.6287103205,1167.758789,4.1300786795,
1174.7916576095,1174.296997,0.4946606095,
1167.1785918098,1167.800781,0.6221891902,
1146.4460226893,1141.393799,5.0522236893,
1179.5235095917,1173.616699,5.9068105917,
1166.9286550303,1167.502319,0.5736639697,
1179.407749387,1181.127441,1.719691613,
1166.0095277992,1170.471802,4.4622742008,
1155.4272213708,1156.417725,0.9905036293,
1149.1710966943,1156.939453,7.7683563057,
1170.6639058904,1166.574585,4.0893208903,
1164.0463520232,1162.977417,1.0689350232,
1178.9051113444,1179.001221,0.0961096556,
1183.0954780533,1181.496704,1.5987740533,
1169.8857578019,1167.706177,2.1795808019,
1168.0835403347,1174.258179,6.1746386653,
1190.2171144642,1192.007935,1.7908205359,
1174.6302495774,1178.493896,3.8636464226,
1156.6618416518,1160.300781,3.6389393482,
1162.6065234687,1167.047363,4.4408395313,
1158.0537553095,1157.328613,0.7251423095,
1157.4696687704,1159.411499,1.9418302296,
1154.1351612092,1149.068604,5.0665572092,
1170.4189073524,1168.286377,2.1325303524,
1183.3132093874,1183.195679,0.1175303873,
1176.1527070039,1174.008057,2.1446500039,
1182.8268458483,1175.929443,6.8974028483,
1391.3392422111,1378.472412,12.8668302111,
1163.025724448,1164.235229,1.209504552,
1164.4109746321,1162.415771,1.9952036321,
1173.9349795711,1173.931519,0.0034605711,
1169.2722560132,1177.151611,7.8793549868,
1151.9633361771,1149.73938,2.2239561771,
1182.6136618426,1186.057251,3.4435891574,
1169.0962048753,1171.403442,2.3072371247,
1178.5896010001,1176.099487,2.4901140001,
1165.8610434749,1165.282471,0.5785724749,
1181.580801281,1183.576904,1.996102719,
1182.8831452981,1183.037598,0.154452702,
1168.6414531977,1168.978027,0.3365738023,
1175.0613906736,1167.661621,7.3997696736,
1182.5259876736,1183.518311,0.9923233264,
1180.5068791091,1183.991211,3.4843318909,
1165.6113965707,1163.549683,2.0617135707,
1146.775368684,1151.496582,4.721213316,
1179.1052394187,1175.48584,3.6193994186,
1148.2013209778,1152.373047,4.1717260222,
1379.7833797388,1376.061035,3.7223447388,
1186.9878869045,1183.614502,3.3733849045,
1155.2337278041,1150.369019,4.8647088041,
1166.9311230886,1164.714478,2.2166450885,
1161.8028825884,1164.433838,2.6309554116,
1169.6259402458,1172.77417,3.1482297543,
1163.1442017039,1169.280884,6.1366822961,
1171.446855497,1172.756104,1.309248503,
1170.7185695067,1172.227051,1.5084814934,
1151.3910531286,1151.773071,0.3820178714,
1162.7452574976,1162.101318,0.6439394976,
1179.3464707123,1178.122192,1.2242787123,
1154.5028104419,1151.170288,3.3325224419,
1155.1170877955,1148.053223,7.0638647955,
1193.1202542308,1190.74707,2.3731842308,
1170.7423016146,1173.479858,2.7375563855,
1163.0343238889,1164.307739,1.2734151111,
1173.4257640771,1177.306885,3.8811209229,
1188.708563229,1196.519409,7.810845771,
1173.2752713975,1174.199707,0.9244356025,
1155.6135784087,1157.878296,2.2647175913,
1280.6905681676,1279.542236,1.1483321676,
1185.0011321275,1182.278076,2.7230561275,
1174.1675389386,1169.573364,4.5941749386,
1171.1063350034,1166.34668,4.7596550034,
1165.3431769934,1167.689209,2.3460320066,
1183.9367978378,1185.140747,1.2039491623,
1185.5684824033,1196.879272,11.3107895967,
1175.8419857022,1181.269653,5.4276672978,
1161.3667844099,1160.287842,1.0789424099,
1167.0819997033,1161.70813,5.3738697032,
1150.5602204254,1152.724121,2.1639005746,
1178.6773515781,1176.330322,2.3470295781,
1166.0771756985,1168.955688,2.8785123015,
1176.1314868269,1181.907959,5.7764721731,
1199.6820485463,1198.220947,1.4611015463,
1166.1834603269,1166.927856,0.7443956731,
1182.5490530943,1184.178711,1.6296579057,
1169.0129176343,1171.858032,2.8451143657,
1162.2049040675,1164.106567,1.9016629325,
1190.6287940786,1189.236938,1.3918560786,
1175.0092449056,1170.547729,4.4615159056,
1169.628996876,1177.709473,8.080476124,
1164.0651855594,1167.057983,2.9927974406,
1176.2885741915,1173.313965,2.9746091915,
1165.9913469125,1169.450073,3.4587260875,
1170.4598680998,1167.24585,3.2140180998,
1197.0674521489,1200.248657,3.1812048511,
1157.9789117273,1152.175171,5.8037407273,
1175.0385472496,1175.231323,0.1927757505,
1153.4129215499,1149.365967,4.0469545499,
1170.5250450215,1174.41333,3.8882849785,
1171.4729820712,1170.546997,0.9259850712,
1176.3709742526,1170.083862,6.2871122526,
1174.2026718614,1180.0979,5.8952281386,
1166.5063171811,1170.480225,3.9739078189,
1158.3261972097,1163.856445,5.5302477903,
1169.6963109289,1167.199829,2.4964819289,
1160.8765531401,1168.298218,7.4216648599,
1195.0324854386,1202.058105,7.0256195614,
1162.3981216604,1161.293701,1.1044206604,
1173.265542517,1177.467773,4.202230483,
1171.668169494,1164.824463,6.843706494,
1171.9773080543,1168.961426,3.0158820543,
1178.8293219499,1180.293091,1.4637690501,
1182.6528302506,1186.336426,3.6835957494,
1160.4270791392,1161.657837,1.2307578608,
1180.7306125132,1179.099976,1.6306365132,
1365.3737910697,1375.275879,9.9020879303,
1163.8006718906,1164.664551,0.8638791094,
1187.7459312249,1188.396729,0.6507977751,
1168.4819462632,1165.59729,2.8846562632,
1170.6152005661,1175.069214,4.4540134339,
1161.2376696242,1160.994995,0.2426746242,
1179.1114940348,1184.825195,5.7137009652,
1170.4370170879,1170.495605,0.0585879121,
1169.2802181991,1172.555176,3.2749578009,
1160.1680329118,1165.335327,5.1672940882,
1311.5818160066,1311.14978,0.4320360066,
1182.333211654,1184.598877,2.265665346,
1196.4057325813,1198.262451,1.8567184187,
1177.2591210105,1181.736694,4.4775729896,
1183.9064985022,1183.703125,0.2033735022,
1174.466394441,1173.194092,1.272302441,
1165.332394025,1168.944946,3.612551975,
1142.9751039835,1141.389038,1.5860659835,
1164.1484982738,1166.201416,2.0529177262,
1164.7923883657,1172.482056,7.6896676343,
1193.9515818581,1197.377808,3.4262261419,
1162.6880341765,1163.286377,0.5983428235,
1333.6830303926,1321.646606,12.0364243926,
1177.1574928093,1181.60791,4.4504171907,
1195.2846348133,1201.31311,6.0284751867,
1162.6872638615,1168.327026,5.6397621385,
1157.8017489308,1154.971069,2.8306799308,
1184.7553538295,1176.593018,8.1623358295,
1166.4726205046,1166.666382,0.1937614954,
1163.8874842711,1164.60144,0.7139557289,
1147.3868878817,1150.893555,3.5066671183,
1167.0620369093,1169.384155,2.3221180907,
1166.3127230028,1167.112915,0.8001919972,
1189.928931137,1186.310913,3.618018137,
1169.3665642961,1163.629517,5.7370472961,
1176.3518295654,1176.290283,0.0615465654,
1190.6940468473,1193.541016,2.8469691527,
1163.248749913,1172.31311,9.064360087,
1181.7096904495,1178.997192,2.7124984495,
1161.5982453603,1163.877319,2.2790736397,
1175.7710259548,1175.272095,0.4989309548,
1172.3551234072,1167.647095,4.7080284072,
